Instances,fh_tk,fh_day,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
136FL_5A_10,16.0,1079.0,-182.0,2.0,0.0,32.0,32.0,0.0,838492.0,89.3,0.0,1.0,2.0,1.0
AVERAGE,16.0,1079.0,-812.2,1.0,0.0,16.0,16.0,0.0,1.3596809e6,146.3,0.0,1.0,2.0,1.1
181FL_7A_1,25.0,1112.0,-130.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,0.0,1.0,2.0,2.0
181FL_7A_2,25.0,1112.0,-818.0,0.0,0.0,0.0,0.0,0.0,700.0,2.2,0.0,1.0,2.0,2.0
181FL_7A_3,25.0,1112.0,-1714.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,0.0,1.0,2.0,2.0
181FL_7A_4,25.0,1112.0,-1022.0,1.0,0.0,25.0,25.0,0.0,2179.0,3.0,0.0,1.0,2.0,2.0
181FL_7A_5,25.0,1112.0,-855.0,0.0,0.0,0.0,0.0,0.0,389.0,2.1,0.0,1.0,2.0,2.0
181FL_7A_6,25.0,1112.0,-1271.0,1.0,0.0,25.0,25.0,0.0,1.410833e6,193.5,0.0,1.0,2.0,2.0
181FL_7A_7,25.0,1112.0,-388.0,1.0,0.0,25.0,25.0,0.0,26198.0,8.0,0.0,1.0,2.0,1.0
181FL_7A_8,25.0,1112.0,-685.0,2.0,0.0,50.0,50.0,0.0,1.0563543e7,712.5,0.0,1.0,2.0,2.0
181FL_7A_9,25.0,1112.0,-1174.0,0.0,0.0,0.0,0.0,0.0,145.0,2.0,0.0,1.0,2.0,2.0
181FL_7A_10,25.0,1112.0,-1522.0,1.0,0.0,25.0,25.0,0.0,2.11262e6,324.2,0.0,1.0,2.0,2.0
AVERAGE,25.0,1112.0,-957.9,0.6,0.0,15.0,15.0,0.0,1.4116609e6,125.0,0.0,1.0,2.0,1.9
196FL_7A_1,16.0,1079.0,-774.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,0.0,1.0,2.0,2.0
196FL_7A_2,16.0,1079.0,-1102.0,0.0,0.0,0.0,0.0,0.0,1.0,2.7,0.0,1.0,2.0,1.0
196FL_7A_3,16.0,1079.0,-530.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,1.0,2.0,2.0
196FL_7A_4,16.0,1079.0,-1182.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,0.0,1.0,2.0,2.0
196FL_7A_5,16.0,1079.0,-817.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.0,1.0,2.0,2.0
196FL_7A_6,16.0,1079.0,-708.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,0.0,1.0,2.0,1.0
196FL_7A_7,16.0,1079.0,-107.0,0.0,0.0,0.0,0.0,0.0,1712.0,2.5,0.0,1.0,2.0,1.0
196FL_7A_8,16.0,1079.0,-2483.0,3.0,0.0,48.0,0.0,100.0,3.3606986e7,7200.0,0.0,0.0,2.0,1.0
196FL_7A_9,16.0,1079.0,-1664.0,0.0,0.0,0.0,0.0,0.0,1595.0,1.9,0.0,1.0,2.0,2.0
196FL_7A_10,16.0,1079.0,-1129.0,0.0,0.0,0.0,0.0,0.0,806.0,1.3,0.0,1.0,2.0,1.0
AVERAGE,16.0,1079.0,-1049.6,0.3,0.0,4.8,0.0,10.0,3.3611105e6,721.5,0.0,0.9,2.0,1.5
