Instances,fh_tk,fh_day,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
136FL_5A_5,377.0,229.0,-1335.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.0,1.0,2.0,1.0
136FL_5A_6,377.0,229.0,-470.0,0.0,0.0,0.0,0.0,0.0,1212.0,2.7,0.0,1.0,2.0,1.0
136FL_5A_7,377.0,229.0,-1700.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.0,1.0,2.0,1.0
136FL_5A_8,377.0,229.0,-1254.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0
136FL_5A_9,377.0,229.0,-604.0,7.0,0.0,2639.0,2639.0,0.0,1.6550773e7,1367.0,0.0,1.0,2.0,1.0
136FL_5A_10,377.0,229.0,45.0,2.0,0.0,754.0,754.0,0.0,3.985492e6,331.6,0.0,1.0,2.0,1.0
AVERAGE,377.0,229.0,-679.2,1.0,0.0,377.0,377.0,0.0,4.2447936e6,382.7,0.0,1.0,2.0,1.1
181FL_7A_1,360.0,98.0,-433.0,0.0,0.0,0.0,0.0,0.0,564.0,1.3,0.0,1.0,2.0,2.0
181FL_7A_2,360.0,98.0,-818.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0
181FL_7A_3,360.0,98.0,-1345.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,0.0,1.0,2.0,2.0
181FL_7A_4,360.0,98.0,-1024.0,1.0,0.0,360.0,360.0,0.0,1531.0,2.1,0.0,1.0,2.0,2.0
181FL_7A_5,360.0,98.0,-912.0,0.0,0.0,0.0,0.0,0.0,420.0,1.4,0.0,1.0,2.0,1.0
181FL_7A_6,360.0,98.0,-687.0,1.0,0.0,360.0,360.0,0.0,3.03514e6,358.3,0.0,1.0,2.0,2.0
181FL_7A_7,360.0,98.0,-326.0,1.0,0.0,360.0,360.0,0.0,34242.0,10.0,0.0,1.0,2.0,2.0
181FL_7A_8,360.0,98.0,-692.0,2.0,0.0,720.0,720.0,0.0,1.024965e7,928.3,0.0,1.0,2.0,2.0
181FL_7A_9,360.0,98.0,-1236.0,0.0,0.0,0.0,0.0,0.0,1849.0,1.7,0.0,1.0,2.0,2.0
181FL_7A_10,360.0,98.0,-872.0,1.0,0.0,360.0,360.0,0.0,4.481598e6,678.1,0.0,1.0,2.0,2.0
AVERAGE,360.0,98.0,-834.5,0.6,0.0,216.0,216.0,0.0,1.7804996e6,198.5,0.0,1.0,2.0,1.9
196FL_7A_1,377.0,229.0,-369.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,0.0,1.0,2.0,2.0
196FL_7A_2,377.0,229.0,-1010.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,0.0,1.0,2.0,1.0
196FL_7A_3,377.0,229.0,-477.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,1.0,2.0,2.0
196FL_7A_4,377.0,229.0,-654.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,0.0,1.0,2.0,1.0
196FL_7A_5,377.0,229.0,-561.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0
196FL_7A_6,377.0,229.0,-1030.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,0.0,1.0,2.0,1.0
196FL_7A_7,377.0,229.0,-70.0,0.0,0.0,0.0,0.0,0.0,422.0,1.5,0.0,1.0,2.0,1.0
196FL_7A_8,377.0,229.0,-2011.0,3.0,0.0,1131.0,0.0,100.0,3.9569701e7,7200.0,0.0,0.0,2.0,1.0
196FL_7A_9,377.0,229.0,-1069.0,0.0,0.0,0.0,0.0,0.0,1604.0,2.4,0.0,1.0,2.0,2.0
196FL_7A_10,377.0,229.0,-1424.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0
AVERAGE,377.0,229.0,-867.5,0.3,0.0,113.1,0.0,10.0,3.9571734e6,721.2,0.0,0.9,2.0,1.4
