Instances,fh_tk,fh_day,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
136FL_5A_3,377.0,1079.0,-1135.0,0.0,0.0,0.0,0.0,0.0,295.0,0.3,0.0,1.0,2.0,1.0
136FL_5A_4,377.0,1079.0,-357.0,1.0,0.0,377.0,377.0,0.0,1.9732149e7,1654.0,0.0,1.0,2.0,1.0
136FL_5A_5,377.0,1079.0,-1160.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,2.0,1.0
136FL_5A_6,377.0,1079.0,-34.0,0.0,0.0,0.0,0.0,0.0,1838.0,0.5,0.0,1.0,2.0,1.0
136FL_5A_7,377.0,1079.0,-1127.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,1.0,2.0,1.0
136FL_5A_8,377.0,1079.0,-1434.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,1.0,2.0,1.0
136FL_5A_9,377.0,1079.0,-701.0,7.0,0.0,2639.0,2639.0,0.0,1.28592e6,95.9,0.0,1.0,2.0,1.0
136FL_5A_10,377.0,1079.0,87.0,2.0,0.0,754.0,754.0,0.0,663347.0,57.5,1.0,1.0,2.0,1.0
AVERAGE,377.0,1079.0,-589.9,1.0,0.0,377.0,377.0,0.0,2.1683554e6,181.0,0.1,1.0,2.0,1.1
181FL_7A_1,360.0,1112.0,-130.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,2.0,2.0
181FL_7A_2,360.0,1112.0,-748.0,0.0,0.0,0.0,0.0,0.0,384.0,1.4,0.0,1.0,2.0,2.0
181FL_7A_3,360.0,1112.0,-1043.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.0,1.0,2.0,2.0
181FL_7A_4,360.0,1112.0,-1092.0,1.0,0.0,360.0,360.0,0.0,3345.0,2.0,0.0,1.0,2.0,1.0
181FL_7A_5,360.0,1112.0,-1198.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.0,1.0,2.0,1.0
181FL_7A_6,360.0,1112.0,-677.0,1.0,0.0,360.0,360.0,0.0,5.01131e6,542.2,0.0,1.0,2.0,2.0
181FL_7A_7,360.0,1112.0,-399.0,1.0,0.0,360.0,360.0,0.0,8806.0,2.4,0.0,1.0,2.0,2.0
181FL_7A_8,360.0,1112.0,-743.0,2.0,0.0,720.0,720.0,0.0,3.318299e6,239.4,0.0,1.0,2.0,2.0
181FL_7A_9,360.0,1112.0,-296.0,0.0,0.0,0.0,0.0,0.0,143.0,1.0,0.0,1.0,2.0,2.0
181FL_7A_10,360.0,1112.0,-862.0,1.0,0.0,360.0,360.0,0.0,924243.0,160.7,0.0,1.0,2.0,2.0
AVERAGE,360.0,1112.0,-718.8,0.6,0.0,216.0,216.0,0.0,926653.3,95.1,0.0,1.0,2.0,1.8
196FL_7A_1,377.0,1079.0,-841.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,1.0,2.0,2.0
196FL_7A_2,377.0,1079.0,-837.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,1.0,2.0,2.0
196FL_7A_3,377.0,1079.0,-850.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.0,1.0,2.0,1.0
196FL_7A_4,377.0,1079.0,-1515.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,2.0,1.0
196FL_7A_5,377.0,1079.0,-675.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,1.0,2.0,1.0
196FL_7A_6,377.0,1079.0,-417.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0
196FL_7A_7,377.0,1079.0,-224.0,0.0,0.0,0.0,0.0,0.0,693.0,1.0,0.0,1.0,2.0,1.0
196FL_7A_8,377.0,1079.0,-1890.0,3.0,0.0,1131.0,0.0,100.0,3.4027084e7,7200.0,0.0,0.0,2.0,1.0
196FL_7A_9,377.0,1079.0,-1657.0,0.0,0.0,0.0,0.0,0.0,2033.0,2.0,0.0,1.0,2.0,2.0
196FL_7A_10,377.0,1079.0,-1666.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,2.0,1.0
AVERAGE,377.0,1079.0,-1057.2,0.3,0.0,113.1,0.0,10.0,3.4029817e6,720.7,0.0,0.9,2.0,1.3
