Instances,fh_tk,fh_day,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
136FL_5A_3,16.0,1079.0,-1419.0,0.0,0.0,0.0,0.0,0.0,74.0,0.3,0.0,1.0,2.0,1.0
136FL_5A_4,16.0,1079.0,-23.0,1.0,0.0,16.0,16.0,0.0,1.9560495e7,2032.0,0.0,1.0,2.0,1.0
136FL_5A_5,16.0,1079.0,-1053.0,0.0,0.0,0.0,0.0,0.0,15.0,0.6,0.0,1.0,2.0,1.0
136FL_5A_6,16.0,1079.0,-527.0,0.0,0.0,0.0,0.0,0.0,3472.0,0.6,0.0,1.0,2.0,1.0
136FL_5A_7,16.0,1079.0,-1127.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,1.0,2.0,1.0
136FL_5A_8,16.0,1079.0,-1622.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,1.0,2.0,1.0
136FL_5A_9,16.0,1079.0,-143.0,7.0,0.0,112.0,112.0,0.0,4.066709e6,332.7,0.0,1.0,2.0,1.0
136FL_5A_10,16.0,1079.0,-192.0,2.0,0.0,32.0,32.0,0.0,594464.0,58.4,0.0,1.0,2.0,1.0
AVERAGE,16.0,1079.0,-705.0,1.0,0.0,16.0,16.0,0.0,2.4225233e6,242.6,0.0,1.0,2.0,1.1
181FL_7A_1,25.0,1112.0,-977.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,1.0,2.0,1.0
181FL_7A_2,25.0,1112.0,-748.0,0.0,0.0,0.0,0.0,0.0,1003.0,0.9,0.0,1.0,2.0,2.0
181FL_7A_3,25.0,1112.0,-1188.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,1.0,2.0,2.0
181FL_7A_4,25.0,1112.0,-1004.0,1.0,0.0,25.0,25.0,0.0,17.0,1.4,0.0,1.0,2.0,2.0
181FL_7A_5,25.0,1112.0,-555.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,1.0,2.0,2.0
181FL_7A_6,25.0,1112.0,-1271.0,1.0,0.0,25.0,25.0,0.0,669517.0,102.9,0.0,1.0,2.0,2.0
181FL_7A_7,25.0,1112.0,-390.0,1.0,0.0,25.0,25.0,0.0,45109.0,11.9,0.0,1.0,2.0,2.0
181FL_7A_8,25.0,1112.0,-246.0,2.0,0.0,50.0,50.0,0.0,4.3722021e7,2586.1,0.0,1.0,2.0,2.0
181FL_7A_9,25.0,1112.0,-1485.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,1.0,2.0,2.0
181FL_7A_10,25.0,1112.0,-677.0,1.0,0.0,25.0,25.0,0.0,5.934928e6,1011.1,0.0,1.0,2.0,1.0
AVERAGE,25.0,1112.0,-854.1,0.6,0.0,15.0,15.0,0.0,5.0372599e6,371.7,0.0,1.0,2.0,1.8
196FL_7A_1,16.0,1079.0,-841.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,1.0,2.0,2.0
196FL_7A_2,16.0,1079.0,-756.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,1.0,2.0,2.0
196FL_7A_3,16.0,1079.0,-512.0,0.0,0.0,0.0,0.0,0.0,708.0,1.0,0.0,1.0,2.0,2.0
196FL_7A_4,16.0,1079.0,-1515.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,1.0,2.0,1.0
196FL_7A_5,16.0,1079.0,-1979.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,1.0,2.0,1.0
196FL_7A_6,16.0,1079.0,-904.0,0.0,0.0,0.0,0.0,0.0,910.0,1.4,0.0,1.0,2.0,1.0
196FL_7A_7,16.0,1079.0,100.0,0.0,0.0,0.0,0.0,0.0,1901.0,1.6,0.0,1.0,2.0,1.0
196FL_7A_8,16.0,1079.0,-2035.0,3.0,0.0,48.0,0.0,100.0,3.8531059e7,7200.0,0.0,0.0,2.0,1.0
196FL_7A_9,16.0,1079.0,-463.0,0.0,0.0,0.0,0.0,0.0,103.0,1.0,0.0,1.0,2.0,2.0
196FL_7A_10,16.0,1079.0,-1391.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,1.0,2.0,1.0
AVERAGE,16.0,1079.0,-1029.6,0.3,0.0,4.8,0.0,10.0,3.8534686e6,720.8,0.0,0.9,2.0,1.4
