Instances,fh_tk,fh_day,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
136FL_5A_9,377.0,229.0,-143.0,7.0,0.0,2639.0,2639.0,0.0,1.3888991e7,752.3,0.0,1.0,2.0,1.0
136FL_5A_10,377.0,229.0,67.0,2.0,0.0,754.0,754.0,0.0,1.088389e6,112.9,0.0,1.0,2.0,1.0
AVERAGE,377.0,229.0,-610.3,1.0,0.0,377.0,377.0,0.0,4.6894805e6,346.4,0.0,1.0,2.0,1.0
181FL_7A_1,360.0,98.0,-981.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,0.0,1.0,2.0,1.0
181FL_7A_2,360.0,98.0,-748.0,0.0,0.0,0.0,0.0,0.0,7824.0,2.6,0.0,1.0,2.0,2.0
181FL_7A_3,360.0,98.0,-1073.0,0.0,0.0,0.0,0.0,0.0,973.0,0.9,0.0,1.0,2.0,2.0
181FL_7A_4,360.0,98.0,-1092.0,1.0,0.0,360.0,360.0,0.0,1256.0,1.4,0.0,1.0,2.0,1.0
181FL_7A_5,360.0,98.0,-925.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0
181FL_7A_6,360.0,98.0,-1259.0,1.0,0.0,360.0,360.0,0.0,868661.0,112.4,0.0,1.0,2.0,2.0
181FL_7A_7,360.0,98.0,-462.0,1.0,0.0,360.0,360.0,0.0,24205.0,6.0,0.0,1.0,2.0,2.0
181FL_7A_8,360.0,98.0,-10.0,2.0,0.0,720.0,720.0,0.0,1.2599074e7,799.1,0.0,1.0,2.0,2.0
181FL_7A_9,360.0,98.0,-343.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0
181FL_7A_10,360.0,98.0,-1512.0,1.0,0.0,360.0,360.0,0.0,657973.0,116.8,0.0,1.0,2.0,2.0
AVERAGE,360.0,98.0,-840.5,0.6,0.0,216.0,216.0,0.0,1.4159969e6,104.3,0.0,1.0,2.0,1.8
196FL_7A_1,377.0,229.0,-841.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,1.0,2.0,2.0
196FL_7A_2,377.0,229.0,-397.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,1.0,2.0,2.0
196FL_7A_3,377.0,229.0,-489.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.0,1.0,2.0,2.0
196FL_7A_4,377.0,229.0,-628.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,1.0,2.0,1.0
196FL_7A_5,377.0,229.0,-635.0,0.0,0.0,0.0,0.0,0.0,182.0,0.6,0.0,1.0,2.0,1.0
196FL_7A_6,377.0,229.0,-401.0,0.0,0.0,0.0,0.0,0.0,425.0,0.9,0.0,1.0,2.0,1.0
196FL_7A_7,377.0,229.0,-894.0,0.0,0.0,0.0,0.0,0.0,4605.0,2.7,0.0,1.0,2.0,1.0
196FL_7A_8,377.0,229.0,-1518.0,3.0,0.0,1131.0,0.0,100.0,2.7118211e7,7200.0,0.0,0.0,2.0,1.0
196FL_7A_9,377.0,229.0,-58.0,0.0,0.0,0.0,0.0,0.0,811.0,1.1,0.0,1.0,2.0,2.0
196FL_7A_10,377.0,229.0,-118.0,0.0,0.0,0.0,0.0,0.0,791.0,1.1,0.0,1.0,2.0,1.0
AVERAGE,377.0,229.0,-597.9,0.3,0.0,113.1,0.0,10.0,2.7125029e6,720.8,0.0,0.9,2.0,1.4
